,ts_code,cluster_id
1094,2665,280
1039,2610,280
170,599,280
152,572,280
111,523,280
1531,300145,280
965,2535,280
2498,600321,280
2373,600172,281
1460,300072,281
2851,600758,281
278,759,281
58,151,282
943,2512,282
1071,2642,282
2305,600091,282
582,2141,282
635,2196,282
2660,600537,282
1112,2685,283
2400,600203,283
1051,2622,284
2808,600712,284
328,836,284
2566,600405,284
2533,600365,284
1013,2583,284
238,700,284
2673,600555,284
2434,600242,284
2530,600361,284
673,2235,285
1126,2699,285
1670,300287,285
1603,300220,285
1645,300262,286
287,780,286
1906,300528,286
559,2118,286
1904,300526,286
1976,300600,286
1414,300024,286
1472,300084,286
646,2207,287
1401,300011,287
1121,2694,287
1707,300324,287
1676,300293,287
941,2510,287
617,2178,287
804,2369,287
1964,300588,287
47,68,287
359,892,288
2869,600778,288
639,2200,288
1592,300208,288
2561,600397,289
705,2269,289
904,2470,289
1069,2640,289
1553,300168,289
2330,600121,289
1569,300184,290
2760,600653,290
1076,2647,290
1048,2619,290
303,802,290
221,676,290
2975,600898,291
